 * Serving Flask app 'api'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://192.168.50.138:5004
Press CTRL+C to quit
173.90.24.50 - - [17/Apr/2024 00:28:59] "OPTIONS /api/newVehicle HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:01] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:02] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:02] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:05] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:05] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:06] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:07] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:07] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:07] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:07] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:15] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:15] "GET /favicon.ico HTTP/1.1" 404 -
192.168.50.1 - - [17/Apr/2024 19:11:45] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:45] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:46] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:11:46] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:12:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:12:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:12:09] "GET /api/getAllVehicles HTTP/1.1" 200 -
192.168.50.1 - - [17/Apr/2024 19:12:09] "GET /api/getAllVehicles HTTP/1.1" 200 -
 * Serving Flask app 'api'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://192.168.50.138:5004
Press CTRL+C to quit
131.123.48.80 - - [19/Apr/2024 16:19:17] "GET / HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 16:19:18] "GET /favicon.ico HTTP/1.1" 404 -
131.123.48.80 - - [19/Apr/2024 16:20:15] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 16:20:15] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 16:21:53] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 16:21:53] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 16:22:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 16:22:04] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 17:02:34] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 17:02:34] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:04:14] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:04:14] "GET /api/getAllVehicles HTTP/1.1" 200 -
